"id","pair_symbol","recommended_action","score_week","score_month","timestamp","created_at","trading_pair_id","exchange_id","score_week_filter","score_month_filter","max_trades_filter","stop_loss_filter","trailing_activation_filter","trailing_distance_filter"
6487122,"SKLUSDT","BUY","80.00","70.60","2025-10-28 18:15:00+00","2025-10-28 18:33:02.275595+00",2176,1,72,64,3,"5","2","0.5"
6484128,"PHBUSDT","BUY","72.60","64.80","2025-10-28 17:45:00+00","2025-10-28 18:04:02.101236+00",2241,1,72,64,3,"5","2","0.5"
6471673,"AIAUSDT","BUY","72.60","64.80","2025-10-28 14:45:00+00","2025-10-28 15:03:10.004452+00",1013326,1,72,64,3,"5","2","0.5"
6460179,"GIGAUSDT","BUY","76.20","66.70","2025-10-28 12:45:00+00","2025-10-28 13:04:02.250101+00",2793,2,71,61,2,"6","2","0.5"
6455241,"GIGAUSDT","BUY","85.70","71.40","2025-10-28 12:00:00+00","2025-10-28 12:19:01.983287+00",2793,2,71,61,2,"6","2","0.5"
6451915,"TSTBSCUSDT","BUY","85.70","71.40","2025-10-28 11:30:00+00","2025-10-28 11:49:01.883722+00",3077,2,71,61,2,"6","2","0.5"
6434307,"AVLUSDT","BUY","80.00","70.60","2025-10-28 09:00:00+00","2025-10-28 09:18:00.711315+00",2658,2,71,61,2,"6","2","0.5"
6421666,"MONUSDT","BUY","76.20","66.70","2025-10-28 06:45:00+00","2025-10-28 07:04:01.57356+00",1013370,1,72,64,3,"5","2","0.5"
6403847,"HOTUSDT","BUY","85.70","71.40","2025-10-28 04:00:00+00","2025-10-28 04:18:02.145991+00",2192,1,72,64,3,"5","2","0.5"
6403866,"POLYXUSDT","BUY","76.20","66.70","2025-10-28 04:00:00+00","2025-10-28 04:18:02.145991+00",2286,1,72,64,3,"5","2","0.5"
6402474,"HAEDALUSDT","BUY","85.70","71.40","2025-10-28 03:45:00+00","2025-10-28 04:04:01.459119+00",2546,1,72,64,3,"5","2","0.5"
6376718,"CTSIUSDT","SELL","77.80","65.60","2025-10-27 23:45:00+00","2025-10-28 00:04:01.953473+00",2210,1,72,64,3,"5","2","0.5"
6376778,"VANAUSDT","BUY","80.00","70.60","2025-10-27 23:45:00+00","2025-10-28 00:04:01.953473+00",2452,1,72,64,3,"5","2","0.5"
6373401,"KAVAUSDT","BUY","80.00","70.60","2025-10-27 23:15:00+00","2025-10-27 23:34:02.150044+00",2146,1,72,64,3,"5","2","0.5"
6368407,"XNOUSDT","BUY","80.00","70.60","2025-10-27 22:30:00+00","2025-10-27 22:49:01.429622+00",3121,2,71,61,2,"6","2","0.5"
6354049,"ZBCNUSDT","BUY","85.70","71.40","2025-10-27 20:45:00+00","2025-10-27 21:04:02.140213+00",3131,2,71,61,2,"6","2","0.5"
6354024,"SQDUSDT","BUY","90.90","73.70","2025-10-27 20:45:00+00","2025-10-27 21:04:02.140213+00",2578,1,72,64,3,"5","2","0.5"
6352644,"PARTIUSDT","BUY","85.70","71.40","2025-10-27 20:30:00+00","2025-10-27 20:49:02.04958+00",2515,1,72,64,3,"5","2","0.5"
6346300,"GNOUSDT","BUY","76.20","66.70","2025-10-27 19:30:00+00","2025-10-27 19:49:01.895291+00",2798,2,71,61,2,"6","2","0.5"
6322150,"MYXUSDT","SELL","92.90","69.70","2025-10-27 15:30:00+00","2025-10-27 15:49:01.782348+00",137450,1,72,64,3,"5","2","0.5"
6322104,"PIPPINUSDT","SELL","92.90","69.70","2025-10-27 15:30:00+00","2025-10-27 15:49:01.782348+00",2483,1,72,64,3,"5","2","0.5"
