pair,direction,datetime,price,price_5min_before,price_change_5min_percent,open_interest_usdt,volume_1h_usdt,high_1h,low_1h,profit_1h_percent,exchange
SKLUSDT,BUY,2025-10-28 18:15:00,$0.01932000,$0.01917000,+0.78%,"$5,063,283.10","$2,383,656.67",$0.01975000,$0.01905000,+2.23%,BINANCE
PHBUSDT,BUY,2025-10-28 17:45:00,$0.80390000,$0.80620000,-0.29%,"$6,833,403.40","$29,916,937.96",$0.82490000,$0.79000000,+2.61%,BINANCE
AIAUSDT,BUY,2025-10-28 14:45:00,$1.13580000,$1.18610000,-4.24%,"$10,106,892.75","$4,989,717.20",$1.19790000,$1.13000000,+5.47%,BINANCE
GIGAUSDT,BUY,2025-10-28 12:45:00,$0.00676300,$0.00674500,+0.27%,"$663,004.90","$343,356.20",$0.00679000,$0.00671600,+0.40%,BYBIT
GIGAUSDT,BUY,2025-10-28 12:00:00,$0.00675700,$0.00675000,+0.10%,"$663,004.90","$343,356.20",$0.00679000,$0.00671600,+0.49%,BYBIT
TSTBSCUSDT,BUY,2025-10-28 11:30:00,$0.01959000,$0.01939000,+1.03%,"$708,835.11","$25,524.80",$0.01986000,$0.01929000,+1.38%,BYBIT
AVLUSDT,BUY,2025-10-28 09:00:00,$0.13550000,$0.13620000,-0.51%,"$1,553,763.36","$102,573.08",$0.14100000,$0.13470000,+4.06%,BYBIT
MONUSDT,BUY,2025-10-28 06:45:00,$0.06114000,$0.06104000,+0.16%,"$3,630,880.76","$268,654.67",$0.06238000,$0.06071000,+2.03%,BINANCE
HOTUSDT,BUY,2025-10-28 04:00:00,$0.00063800,$0.00063800,+0.00%,"$1,666,622.83","$193,987.98",$0.00064700,$0.00063600,+1.41%,BINANCE
POLYXUSDT,BUY,2025-10-28 04:00:00,$0.08662000,$0.08677000,-0.17%,"$1,157,355.42","$227,435.96",$0.08707000,$0.08654000,+0.52%,BINANCE
HAEDALUSDT,BUY,2025-10-28 03:45:00,$0.09055000,$0.09052000,+0.03%,"$1,804,287.55","$202,089.41",$0.09090000,$0.08987000,+0.39%,BINANCE
CTSIUSDT,SELL,2025-10-27 23:45:00,$0.05180000,$0.05180000,+0.00%,"$2,416,641.30","$89,180.54",$0.05210000,$0.05160000,+0.39%,BINANCE
VANAUSDT,BUY,2025-10-27 23:45:00,$2.89100000,$2.89500000,-0.14%,"$4,708,008.15","$1,073,339.48",$2.92100000,$2.86600000,+1.04%,BINANCE
KAVAUSDT,BUY,2025-10-27 23:15:00,$0.14150000,$0.14180000,-0.21%,"$7,957,072.89","$488,912.75",$0.14310000,$0.14150000,+1.13%,BINANCE
XNOUSDT,BUY,2025-10-27 22:30:00,$0.68930000,$0.69000000,-0.10%,"$235,261.79","$17,614.97",$0.69420000,$0.68510000,+0.71%,BYBIT
ZBCNUSDT,BUY,2025-10-27 20:45:00,$0.00370140,$0.00370170,-0.01%,"$1,094,722.95","$177,248.89",$0.00382120,$0.00364790,+3.24%,BYBIT
SQDUSDT,BUY,2025-10-27 20:45:00,$0.11856000,$0.11815000,+0.35%,"$1,603,211.84","$367,595.36",$0.12111000,$0.11790000,+2.15%,BINANCE
PARTIUSDT,BUY,2025-10-27 20:30:00,$0.07670000,$0.07660000,+0.13%,"$2,849,860.03","$346,868.62",$0.07700000,$0.07460000,+0.39%,BINANCE
GNOUSDT,BUY,2025-10-27 19:30:00,$139.44000000,$139.46000000,-0.01%,"$370,863.76","$6,633.59",$139.77000000,$138.93000000,+0.24%,BYBIT
MYXUSDT,SELL,2025-10-27 15:30:00,$2.73800000,$2.74300000,-0.18%,"$10,059,089.83","$910,411.32",$2.76800000,$2.72700000,+0.40%,BINANCE
PIPPINUSDT,SELL,2025-10-27 15:30:00,$0.01851000,$0.01846000,+0.27%,"$5,917,173.01","$1,291,835.56",$0.01876000,$0.01791000,+3.24%,BINANCE
ESPORTSUSDT,SELL,2025-10-27 15:30:00,$0.22263000,$0.22367000,-0.46%,"$2,903,841.92","$111,680.83",$0.22406000,$0.21743000,+2.34%,BINANCE
PORT3USDT,SELL,2025-10-27 15:30:00,$0.04315000,$0.04338000,-0.53%,"$13,428,168.46","$227,491.34",$0.04442000,$0.04251000,+1.48%,BINANCE
UBUSDT,SELL,2025-10-27 15:15:00,$0.07719100,$0.07807000,-1.13%,"$22,783,949.14","$4,260,717.07",$0.07975500,$0.07689600,+0.38%,BINANCE
PIXELUSDT,SELL,2025-10-27 13:30:00,$0.01765000,$0.01760000,+0.28%,"$1,424,893.53","$122,076.99",$0.01772000,$0.01732000,+1.87%,BINANCE
AIXBTUSDT,SELL,2025-10-27 13:15:00,$0.09422000,$0.09429000,-0.07%,"$9,194,205.46","$6,097,004.38",$0.09569000,$0.09279000,+1.52%,BINANCE
ESPORTSUSDT,SELL,2025-10-27 13:15:00,$0.22990000,$0.22879000,+0.49%,"$2,903,985.43","$132,371.61",$0.23053000,$0.22129000,+3.75%,BINANCE
PORT3USDT,SELL,2025-10-27 13:15:00,$0.04306000,$0.04332000,-0.60%,"$13,428,384.49","$143,477.83",$0.04382000,$0.04269000,+0.86%,BINANCE
DEGENUSDT,SELL,2025-10-27 12:45:00,$0.00209200,$0.00209500,-0.14%,"$944,180.83","$59,703.15",$0.00212000,$0.00208700,+0.24%,BINANCE
PIXELUSDT,SELL,2025-10-27 12:45:00,$0.01760000,$0.01760000,+0.00%,"$1,425,557.07","$91,507.39",$0.01782000,$0.01756000,+0.23%,BINANCE
PIXELUSDT,SELL,2025-10-27 12:30:00,$0.01768000,$0.01773000,-0.28%,"$1,425,803.78","$91,507.39",$0.01782000,$0.01756000,+0.68%,BINANCE
