26268:2025-10-23 17:04:41,409 - core.position_manager - INFO - Trailing stop activated for MLNUSDT
28035:2025-10-23 17:05:20,274 - protection.trailing_stop - INFO - 🗑️  STORJUSDT: Canceling Protection Manager SL (order_id=57702805, stopPrice=0.1787) before TS activation
28726:2025-10-23 17:05:30,193 - protection.trailing_stop - INFO - 🗑️  ZKJUSDT: Canceling Protection Manager SL (order_id=13401089, stopPrice=0.073500) before TS activation
28968:2025-10-23 17:05:40,455 - protection.trailing_stop - INFO - 🗑️  TWTUSDT: Canceling Protection Manager SL (order_id=10094509, stopPrice=1.24820) before TS activation
29575:2025-10-23 17:05:50,178 - protection.trailing_stop - INFO - 🗑️  OGUSDT: Canceling Protection Manager SL (order_id=15549464, stopPrice=18.150000) before TS activation
30114:2025-10-23 17:06:00,030 - protection.trailing_stop - INFO - 🗑️  KASUSDT: Canceling Protection Manager SL (order_id=1076356252, stopPrice=0.0519500) before TS activation
32325:2025-10-23 17:07:02,390 - core.position_manager - INFO - Trailing stop activated for SAROSUSDT
73616:2025-10-23 17:20:50,116 - protection.trailing_stop - INFO - 🗑️  CARVUSDT: Canceling Protection Manager SL (order_id=10751162, stopPrice=0.1510000) before TS activation
74380:2025-10-23 17:21:00,690 - protection.trailing_stop - INFO - 🗑️  IOUSDT: Canceling Protection Manager SL (order_id=18142024, stopPrice=0.3320000) before TS activation
74763:2025-10-23 17:21:12,464 - protection.trailing_stop - INFO - 🗑️  TAGUSDT: Canceling Protection Manager SL (order_id=14063517, stopPrice=0.0004102) before TS activation
75382:2025-10-23 17:21:22,343 - protection.trailing_stop - INFO - 🗑️  BABYUSDT: Canceling Protection Manager SL (order_id=11421329, stopPrice=0.0315100) before TS activation
75701:2025-10-23 17:21:32,546 - protection.trailing_stop - INFO - 🗑️  HEIUSDT: Canceling Protection Manager SL (order_id=22143609, stopPrice=0.257700) before TS activation
117600:2025-10-23 17:35:49,437 - protection.trailing_stop - INFO - 🗑️  CELOUSDT: Canceling Protection Manager SL (order_id=19505733, stopPrice=0.255) before TS activation
118329:2025-10-23 17:36:02,668 - protection.trailing_stop - INFO - 🗑️  XVGUSDT: Canceling Protection Manager SL (order_id=91827200, stopPrice=0.0056708) before TS activation
118489:2025-10-23 17:36:12,812 - protection.trailing_stop - INFO - 🗑️  THETAUSDT: Canceling Protection Manager SL (order_id=107776216, stopPrice=0.5653) before TS activation
160692:2025-10-23 17:50:18,828 - protection.trailing_stop - INFO - 🗑️  PUMPBTCUSDT: Canceling Protection Manager SL (order_id=18229534, stopPrice=0.0427300) before TS activation
160918:2025-10-23 17:50:28,675 - protection.trailing_stop - INFO - 🗑️  KAVAUSDT: Canceling Protection Manager SL (order_id=90510955, stopPrice=0.1397) before TS activation
161599:2025-10-23 17:50:39,453 - protection.trailing_stop - INFO - 🗑️  FORTHUSDT: Canceling Protection Manager SL (order_id=10426709, stopPrice=2.182000) before TS activation
162287:2025-10-23 17:50:50,770 - protection.trailing_stop - INFO - 🗑️  ICNTUSDT: Canceling Protection Manager SL (order_id=9685879, stopPrice=0.2394000) before TS activation
162557:2025-10-23 17:51:00,364 - protection.trailing_stop - INFO - 🗑️  NAORISUSDT: Canceling Protection Manager SL (order_id=25003806, stopPrice=0.0494200) before TS activation
204842:2025-10-23 18:05:29,887 - protection.trailing_stop - INFO - 🗑️  WOOUSDT: Canceling Protection Manager SL (order_id=36557045, stopPrice=0.04129) before TS activation
205467:2025-10-23 18:05:41,912 - protection.trailing_stop - INFO - 🗑️  ASTRUSDT: Canceling Protection Manager SL (order_id=24170034, stopPrice=0.0176500) before TS activation
205659:2025-10-23 18:05:51,545 - protection.trailing_stop - INFO - 🗑️  MAVUSDT: Canceling Protection Manager SL (order_id=18517326, stopPrice=0.0388900) before TS activation
206278:2025-10-23 18:06:01,347 - protection.trailing_stop - INFO - 🗑️  POLYXUSDT: Canceling Protection Manager SL (order_id=12494963, stopPrice=0.0871900) before TS activation
226697:2025-10-23 18:15:02,213 - protection.trailing_stop - INFO - SmartTrailingStopManager initialized with config: TrailingStopConfig(activation_percent=Decimal('1.5'), callback_percent=Decimal('0.5'), use_atr=False, atr_multiplier=Decimal('2.0'), step_activation=False, activation_steps=[{'profit': 1.0, 'distance': 0.5}, {'profit': 2.0, 'distance': 0.3}, {'profit': 3.0, 'distance': 0.2}], breakeven_at=None, time_based_activation=False, min_position_age_minutes=10, accelerate_on_momentum=False, momentum_threshold=Decimal('0.1'))
226698:2025-10-23 18:15:02,213 - protection.trailing_stop - INFO - SmartTrailingStopManager initialized with config: TrailingStopConfig(activation_percent=Decimal('1.5'), callback_percent=Decimal('0.5'), use_atr=False, atr_multiplier=Decimal('2.0'), step_activation=False, activation_steps=[{'profit': 1.0, 'distance': 0.5}, {'profit': 2.0, 'distance': 0.3}, {'profit': 3.0, 'distance': 0.2}], breakeven_at=None, time_based_activation=False, min_position_age_minutes=10, accelerate_on_momentum=False, momentum_threshold=Decimal('0.1'))
227766:2025-10-23 18:15:51,091 - protection.trailing_stop - INFO - ✅ IDEXUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.01924000, current_stop=None, update_count=0
227768:2025-10-23 18:15:51,092 - protection.trailing_stop - INFO - ✅ SOSOUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.61410000, lowest_price=N/A, current_stop=None, update_count=0
227770:2025-10-23 18:15:51,093 - protection.trailing_stop - INFO - ✅ DODOUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04140000, current_stop=None, update_count=0
227772:2025-10-23 18:15:51,094 - protection.trailing_stop - INFO - ✅ DOGUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.00144800, lowest_price=N/A, current_stop=None, update_count=0
227774:2025-10-23 18:15:51,095 - protection.trailing_stop - INFO - ✅ PYRUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.85060000, current_stop=None, update_count=0
227776:2025-10-23 18:15:51,096 - protection.trailing_stop - INFO - ✅ AIOZUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.31380000, lowest_price=N/A, current_stop=None, update_count=0
227778:2025-10-23 18:15:51,096 - protection.trailing_stop - INFO - ✅ SHIB1000USDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.00581800, lowest_price=N/A, current_stop=None, update_count=0
227780:2025-10-23 18:15:51,097 - protection.trailing_stop - INFO - ✅ OKBUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=155.72000000, lowest_price=N/A, current_stop=None, update_count=0
227782:2025-10-23 18:15:51,097 - protection.trailing_stop - INFO - ✅ AGIUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04614000, current_stop=None, update_count=0
227786:2025-10-23 18:15:51,103 - protection.trailing_stop - INFO - ✅ SAROSUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.18334000, current_stop=None, update_count=0
227788:2025-10-23 18:15:51,104 - protection.trailing_stop - INFO - ✅ PRCLUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.03884000, lowest_price=N/A, current_stop=None, update_count=0
227790:2025-10-23 18:15:51,104 - protection.trailing_stop - INFO - ✅ POLYXUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.08549000, current_stop=0.08719317, update_count=0
227792:2025-10-23 18:15:51,105 - protection.trailing_stop - INFO - ✅ MAVUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.03823000, current_stop=0.03889260, update_count=0
227794:2025-10-23 18:15:51,105 - protection.trailing_stop - INFO - ✅ ASTRUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.01730800, current_stop=0.01765008, update_count=0
227796:2025-10-23 18:15:51,106 - protection.trailing_stop - INFO - ✅ WOOUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04049000, current_stop=0.04128960, update_count=0
227798:2025-10-23 18:15:51,107 - protection.trailing_stop - INFO - ✅ KERNELUSDT: TS state RESTORED from DB - state=active, activated=True, highest_price=N/A, lowest_price=0.16262818, current_stop=0.16344132, update_count=2
227800:2025-10-23 18:15:51,107 - protection.trailing_stop - INFO - ✅ NAORISUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04859000, current_stop=0.04941900, update_count=0
227802:2025-10-23 18:15:51,108 - protection.trailing_stop - INFO - ✅ ICNTUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.23480000, current_stop=0.23939400, update_count=0
227804:2025-10-23 18:15:51,109 - protection.trailing_stop - INFO - ✅ FORTHUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=2.14400000, current_stop=2.18178000, update_count=0
227806:2025-10-23 18:15:51,109 - protection.trailing_stop - INFO - ✅ KAVAUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.13740000, current_stop=0.13974000, update_count=0
227808:2025-10-23 18:15:51,110 - protection.trailing_stop - INFO - ✅ PUMPBTCUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04215000, current_stop=0.04272780, update_count=0
227810:2025-10-23 18:15:51,110 - protection.trailing_stop - INFO - ✅ THETAUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.55430000, current_stop=0.56528400, update_count=0
227812:2025-10-23 18:15:51,111 - protection.trailing_stop - INFO - ✅ XVGUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.00556150, current_stop=0.00567079, update_count=0
227814:2025-10-23 18:15:51,111 - protection.trailing_stop - INFO - ✅ CELOUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.25100000, current_stop=0.25500000, update_count=0
227816:2025-10-23 18:15:51,112 - protection.trailing_stop - INFO - ✅ HEIUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.25400000, current_stop=0.25765200, update_count=0
